39;41;36;0;0;42;44;45;Corridor1
36;36;33;47;0;46;46;47;Corridor1
40;41;32;32;0;47;45;43;Corridor1
40;43;28;35;0;43;42;41;Corridor1
39;40;29;40;0;43;43;44;Corridor1
29;42;32;45;29;56;48;48;Corridor1
39;37;34;34;29;60;48;48;Corridor1
35;37;33;41;27;71;72;71;Corridor1
32;45;30;38;27;69;71;71;Corridor1
32;47;36;66;27;50;61;52;Corridor1
32;45;37;51;27;55;55;57;Corridor1
37;46;36;43;27;49;49;49;Corridor1
37;40;33;43;27;49;71;70;Corridor1
35;36;34;50;27;67;69;69;Corridor1
37;41;36;50;27;63;61;62;Corridor1
29;38;33;39;27;52;62;60;Corridor1
30;41;36;42;27;44;46;45;Corridor1
43;37;36;41;27;47;47;46;Corridor1
43;44;34;38;16;45;43;40;Corridor1
34;39;33;45;14;41;40;38;Corridor1
35;44;34;39;14;60;53;52;Corridor1
