39;33;39;16;0;27;26;27;Corridor3
29;30;27;16;0;16;20;16;Corridor3
30;32;23;14;0;17;20;15;Corridor3
26;28;29;14;0;17;20;12;Corridor3
26;19;24;14;0;17;16;14;Corridor3
28;22;30;15;0;16;14;16;Corridor3
28;25;23;15;0;13;12;14;Corridor3
25;19;20;15;0;13;12;14;Corridor3
25;23;23;15;28;13;12;14;Corridor3
25;22;18;15;14;13;12;14;Corridor3
30;17;23;15;26;13;12;14;Corridor3
30;21;23;15;32;14;12;14;Corridor3
23;18;21;15;45;11;12;14;Corridor3
33;26;25;12;41;16;12;16;Corridor3
25;26;32;11;32;13;12;13;Corridor3
33;21;34;11;43;22;21;21;Corridor3
40;31;33;16;33;18;15;15;Corridor3
36;32;35;20;27;28;27;27;Corridor3
37;36;35;22;30;28;26;25;Corridor3
31;30;34;20;33;21;21;22;Corridor3
40;32;28;20;35;20;19;20;Corridor3
30;28;27;20;35;20;17;20;Corridor3
28;25;20;20;49;20;17;20;Corridor3
28;18;24;20;47;20;17;20;Corridor3
28;25;26;20;27;13;17;20;Corridor3
28;15;20;20;33;13;17;20;Corridor3
22;23;23;20;33;13;17;20;Corridor3
22;23;21;20;33;11;17;14;Corridor3
22;27;28;20;33;11;15;14;Corridor3
30;28;33;20;33;19;15;14;Corridor3
30;32;27;20;33;19;15;14;Corridor3
30;27;27;20;33;19;15;14;Corridor3
38;31;35;20;33;19;18;14;Corridor3
35;28;34;20;33;17;18;18;Corridor3
34;29;34;20;33;24;17;17;Corridor3
