44;35;39;0;30;21;23;21;CorridorF
49;32;21;0;30;19;20;19;CorridorF
57;30;36;0;19;19;20;19;CorridorF
50;33;29;0;19;21;20;19;CorridorF
60;27;29;0;11;22;20;19;CorridorF
64;28;33;0;11;22;20;19;CorridorF
75;34;25;0;11;19;21;19;CorridorF
79;31;23;0;11;19;21;19;CorridorF
74;31;23;0;11;19;21;21;CorridorF
69;27;19;0;11;24;21;21;CorridorF
48;26;19;0;11;24;21;16;CorridorF
48;34;29;0;11;24;21;16;CorridorF
64;33;31;0;11;24;21;16;CorridorF
54;29;27;0;11;24;25;16;CorridorF
47;32;29;0;11;24;25;16;CorridorF
65;28;28;0;11;24;23;16;CorridorF
76;28;27;0;11;24;23;16;CorridorF
70;32;27;0;7;24;23;16;CorridorF
70;31;28;0;7;24;23;16;CorridorF
70;38;31;0;11;24;23;16;CorridorF
61;35;33;0;7;18;27;21;CorridorF
61;33;33;0;7;19;27;25;CorridorF
